Country,I have never heard of it,I know a little about it,I know a moderate amount about it,I know a lot about it,Refused
Albania,9.986319072,43.03801182,33.12070362,10.60760411,3.247361376
Algeria,23.16878193,37.62695598,25.99030484,11.05957188,2.154385371
Angola,19.10368633,42.98911163,23.47033557,11.1477583,3.289108173
Argentina,8.249883449,37.39259903,43.78370554,9.87808544,0.695726539
Armenia,9.176227189,51.41285453,25.82819151,11.43921397,2.143512799
Australia,1.130386675,26.41425688,48.1004252,23.94806145,0.406869789
Austria,1.337997008,16.36787111,48.6092667,32.70000622,0.98485896
Azerbaijan,6.188902805,42.41830295,35.94439746,13.24825463,2.200142146
Bangladesh,24.46202369,36.1822024,16.21016333,18.92367473,4.221935847
Belgium,1.396054985,26.92279072,57.00396828,14.58112392,0.096062094
Benin,33.78506244,37.42227757,11.62030338,13.57224788,3.600108735
Bolivia (Plurinational State of),17.23085648,37.66692121,34.39372614,8.049494769,2.659001404
Bosnia and Herzegovina,1.59478391,25.08056633,61.77799764,11.25701435,0.289637768
Botswana,11.74386077,44.90559627,21.29145202,17.55032625,4.508764688
Brazil,4.732113093,29.69768511,52.42681303,12.57727914,0.566109617
Bulgaria,4.153214125,27.67063665,50.83060631,16.04354754,1.301995376
Burkina Faso,21.75965056,41.8043665,20.60915461,11.24619318,4.580635149
Cambodia,24.3990134,48.37148239,16.57657164,6.648109119,4.004823456
Cameroon,24.79671113,35.90172309,21.49299182,10.06335285,7.745221112
Canada,1.403965195,24.58495765,51.49574218,22.36904487,0.146290098
Chile,7.463820623,34.23213009,46.45333596,10.99593356,0.854779765
Colombia,16.26822319,45.51433384,30.03674743,6.006708318,2.173987231
Congo (Democratic Republic of the),32.44254914,35.50346029,19.30649704,7.883080658,4.864412865
Costa Rica,7.93195709,35.52469807,44.04193229,11.51874877,0.982663779
Cote d'Ivoire,24.08202353,36.70786948,18.25261202,12.83595816,8.121536816
Croatia,1.228710887,15.63876849,58.03320862,25.03996663,0.059345378
Cyprus,7.281005824,36.28371428,42.53451309,13.60133546,0.299431345
Czechia,4.248235951,52.37793696,35.11959068,7.962573044,0.291663363
Denmark,1.181020451,23.63716907,54.42846266,20.75334782,
Dominican Republic,17.53689496,42.43570493,27.96329512,6.918826826,5.145278162
Ecuador,13.06889042,34.92384473,42.00751587,8.051452658,1.948296326
Egypt,19.73086601,41.81261266,27.04883669,7.864145241,3.543539391
El Salvador,19.2594002,45.03933479,26.89432989,6.156915469,2.650019656
Finland,1.434685483,6.680452553,53.73918611,37.9834545,0.162221354
France,2.907697096,24.38330717,45.43386592,26.85547425,0.419655567
Germany,2.264088912,13.0125021,49.08498407,34.81584999,0.822574917
Ghana,30.64391859,40.89894626,13.11843912,9.660398195,5.678297842
Greece,3.404578753,28.11454209,47.70927603,20.27487736,0.496725778
Guatemala,30.43932323,37.98789898,24.80055703,4.474760318,2.297460442
Haiti,32.28322585,40.45360909,10.40983968,8.893248685,7.960076699
Honduras,22.95280846,38.24919756,24.54145215,8.390448963,5.866092874
Hong Kong,7.008531907,51.29368413,31.1303146,10.32814003,0.239329333
Hungary,0.854559497,8.810251364,53.30007579,36.83381664,0.201296712
India,18.52214742,36.05887753,23.99444809,18.10934337,3.31518359
Indonesia,15.59674529,50.28020021,12.65987427,16.4794036,4.983776631
Iraq,21.15700448,41.46430594,24.06102887,9.880422672,3.437238048
Ireland,3.027936798,25.17744708,52.34015566,19.27564765,0.178812807
Israel,6.808658445,34.13050383,44.2886824,12.86870651,1.903448815
Italy,2.53748041,25.46231131,60.84522648,10.59478585,0.560195954
Jamaica,15.70576196,54.22492962,20.6880213,8.835953496,0.545333625
Japan,2.256617732,26.56245133,59.64685483,10.89639737,0.637678746
Jordan,21.09494189,35.65559927,32.31398858,9.438390256,1.497080008
Kenya,13.76142337,50.49440026,19.80881975,11.38908199,4.546274627
Kosovo,19.9032452,45.68259426,21.36414609,8.441259856,4.608754591
Kuwait,25.04842938,38.55789724,19.68005588,12.42346661,4.290150885
Lao People's Democratic Republic,21.0248284,50.9720964,18.23930262,8.570941383,1.192831196
Lebanon,18.73283657,38.17408878,30.17670713,9.547539238,3.368828272
Libya,18.25006527,42.65490921,27.75558635,6.353398055,4.986041113
Lithuania,0.656867551,16.741056,61.6961658,20.18136334,0.724547304
Malawi,11.61753778,38.73083328,16.66852898,29.43413298,3.548966978
Malaysia,20.89338068,39.52552999,29.1079771,7.397927788,3.075184441
Mexico,7.623238947,41.42798382,43.31011753,6.756609816,0.882049889
Morocco,21.2212034,33.26891709,27.22844708,14.12882845,4.152603977
Mozambique,26.26092893,42.83940832,20.89992732,6.297916235,3.701819199
Nepal,16.70501375,43.82812743,16.18720387,18.42824197,4.851412977
Netherlands,0.958447765,25.43889085,62.35481814,11.24784324,
New Zealand,5.080802721,29.06651702,50.63104676,14.8256835,0.395950001
Nicaragua,21.03576638,40.1404351,32.44918979,5.481645736,0.892962996
Nigeria,32.35966087,37.33850132,16.40059379,9.640704268,4.260539749
North MAcedonia,2.353612743,35.05269294,48.73693326,13.77901375,0.077747301
Norway,2.526178599,26.94843007,47.89609006,22.36780328,0.261497991
Oman,18.25897347,41.46383334,22.52954176,13.53351429,4.214137136
Pakistan,21.78007635,38.85522856,15.09995478,15.91200268,8.352737631
Panama,16.02366332,38.10180289,36.68656441,7.01161592,2.176353461
Paraguay,22.44835651,39.78647493,25.39901144,8.443560091,3.922597029
Peru,9.017049526,39.55205994,41.77030206,8.316454429,1.344134042
Philippines,7.363086272,36.79240801,29.40148636,21.77581177,4.667207579
Poland,0.876051695,29.16357086,58.82654664,11.10577665,0.02805415
Portugal,3.196632289,26.22193069,57.31240603,12.67207359,0.596957407
Puerto Rico,5.833919041,35.58020116,45.02301046,12.12777346,1.435095882
Qatar,19.4847591,41.85143884,16.52585399,16.86972397,5.26822409
Romania,5.974161001,28.77419086,45.37488113,16.93608088,2.940686127
Saudi Arabia,15.83146154,41.08536384,24.70452698,13.69533229,4.683315345
Senegal,17.8834041,33.44189499,23.43197696,18.56757992,6.675144032
Serbia,3.026915761,17.74623853,63.09539625,15.22606996,0.905379498
Singapore,9.548501789,33.5811286,39.04986953,17.13333364,0.687166449
Slovakia,1.76483317,42.90303586,43.08856218,11.66280095,0.58076783
South Africa,12.44414201,42.34024581,29.10478778,13.44850054,2.662323872
South Korea,8.841769755,34.73517052,43.96338234,11.55951618,0.900161212
Spain,3.967151145,39.2856418,47.18497203,9.083486475,0.478748548
Sri Lanka,10.69671614,39.10800709,33.65129828,15.68171505,0.862263435
Sweden,1.871577969,28.55004174,54.74765753,14.5975657,0.233157057
Switzerland,3.342845069,17.35293173,52.03886365,27.01315819,0.252201352
Taiwan,5.94225119,50.74024287,33.88112132,9.075045235,0.361339386
Tanzania,19.59417564,32.2029676,24.42739858,14.57631217,9.199146001
Thailand,17.05425833,41.22427449,37.34601585,3.575839995,0.799611337
Trinidad and Tobago,7.735514261,47.85623123,33.62549943,10.55828146,0.224473617
Tunisia,25.80723921,29.46458441,26.9974395,14.42953086,3.301206024
Turkey,5.973514957,23.87382257,53.94661588,15.61185988,0.594186713
United Arab Emirates,16.82031409,40.06206549,24.89384625,16.15038916,2.073385012
United Kingdom,1.610633727,24.59569753,54.8603014,18.77745106,0.155916286
United States,2.221162711,26.46925679,48.14016851,22.96231023,0.207101763
Uruguay,8.086924428,38.23495068,42.49412703,10.59883131,0.585166549
Uzbekistan,10.15876704,47.67621335,34.60574365,6.92646497,0.632810993
Vietnam,16.99567114,42.91146614,19.20094001,16.95160564,3.940317066
Yemen,25.16557487,35.97264263,23.51607466,9.110038752,6.235669075
Zambia,16.0242894,40.91117562,21.54410519,19.91036216,1.610067631
